n	s	r	c	well	well_waste	series	conc_fluorophore	conc_dna	vol	amt_fluorophore	amt_dna	needle_wash	sheath	x	y	z	rfu_scope	rfu_pr	rfu_qpcr	cq_qpcr
0	0	0	0	A01	A01	waste								2.493	12.749	-0.85				
1	1	0	1	A02	A02	waste								11.493	12.749	-0.85				
2	2	0	2	A03	A03	waste								20.493	12.749	-0.85				
3	3	0	3	A04	A04	waste								29.493	12.749	-0.85				
4	4	0	4	A05	A05	waste								38.493	12.749	-0.85				
5	5	0	5	A06	A06	waste								47.493	12.749	-0.85				
6	6	0	6	A07	A07	waste								56.493	12.749	-0.85				
7	7	0	7	A08	A08	waste								65.493	12.749	-0.85				
8	8	0	8	A09	A09	waste								74.493	12.749	-0.85				
9	9	0	9	A10	A10	waste								83.493	12.749	-0.85				
10	10	0	10	A11	A11	waste								92.493	12.749	-0.85				
11	11	0	11	A12	A12	waste								101.493	12.749	-0.85				
12	23	1	0	B01	A01	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	2.493	21.749	-0.85		144224	2.35	30.24
13	22	1	1	B02	A02	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	11.493	21.749	-0.85		164042	6.58	31.51
14	21	1	2	B03	A03	+n-s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	0	20.493	21.749	-0.85		483798176	1041.12	13.85
15	20	1	3	B04	A04	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	29.493	21.749	-0.85		147439	-7.41	26.94
16	19	1	4	B05	A05	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	38.493	21.749	-0.85		124134	-15.64	30.89
17	18	1	5	B06	A06	+n-s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	0	47.493	21.749	-0.85		484820512	1095.80	14.55
18	17	1	6	B07	A07	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	56.493	21.749	-0.85		149727	5.07	32.71
19	16	1	7	B08	A08	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	65.493	21.749	-0.85		110008	-3.63	26.79
20	15	1	8	B09	A09	+n-s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	0	74.493	21.749	-0.85		474966432	918.21	14.83
21	14	1	9	B10	A10	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	83.493	21.749	-0.85		131968	5.02	26.30
22	13	1	10	B11	A11	+n-s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	0	92.493	21.749	-0.85		462289408	1652.71	14.48
23	12	1	11	B12	A12	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	101.493	21.749	-0.85		177843	9.40	29.96
24	24	2	0	C01	A01	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	2.493	30.749	-0.85		126191	-0.38	31.91
25	25	2	1	C02	A02	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	11.493	30.749	-0.85		132476	-6.07	32.77
26	26	2	2	C03	A03	+n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	20.493	30.749	-0.85		467138336	1539.76	14.16
27	27	2	3	C04	A04	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	29.493	30.749	-0.85		144233	6.37	31.49
28	28	2	4	C05	A05	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	38.493	30.749	-0.85		162552	-5.11	29.51
29	29	2	5	C06	A06	+n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	47.493	30.749	-0.85		466842208	1778.85	14.48
30	30	2	6	C07	A07	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	56.493	30.749	-0.85		123897	6.42	27.72
31	31	2	7	C08	A08	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	65.493	30.749	-0.85		139854	-5.65	29.78
32	32	2	8	C09	A09	+n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	74.493	30.749	-0.85		442761344	633.61	15.30
33	33	2	9	C10	A10	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	83.493	30.749	-0.85		212772	4.66	31.20
34	34	2	10	C11	A11	+n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	92.493	30.749	-0.85		462940032	538.79	14.00
35	35	2	11	C12	A12	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	101.493	30.749	-0.85		124908	3.38	32.95
36	47	3	0	D01	A01	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	2.493	39.749	-0.85		127946	-2.05	30.81
37	46	3	1	D02	A02	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	11.493	39.749	-0.85		123690	-7.35	33.77
38	45	3	2	D03	A03	-n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	0	1	20.493	39.749	-0.85		460958048	804.97	14.14
39	44	3	3	D04	A04	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	29.493	39.749	-0.85		257958	-14.39	34.00
40	43	3	4	D05	A05	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	38.493	39.749	-0.85		139909	3.75	27.09
41	42	3	5	D06	A06	-n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	0	1	47.493	39.749	-0.85		481828512	2087.95	13.65
42	41	3	6	D07	A07	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	56.493	39.749	-0.85		210784	2.01	29.95
43	40	3	7	D08	A08	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	65.493	39.749	-0.85		116603	-3.57	26.48
44	39	3	8	D09	A09	-n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	0	1	74.493	39.749	-0.85		486982720	666.60	13.51
45	38	3	9	D10	A10	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	83.493	39.749	-0.85		182966	-3.10	34.14
46	37	3	10	D11	A11	-n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	0	1	92.493	39.749	-0.85		473899552	641.61	13.91
47	36	3	11	D12	A12	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	101.493	39.749	-0.85		191779	-1.79	33.18
48	48	4	0	E01	A01	std-int	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	2.493	48.749	-0.85		133822	-6.81	33.33
49	49	4	1	E02	A02	std-int	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	11.493	48.749	-0.85		126776	17.17	29.73
50	50	4	2	E03	A03	std-int	1.28E-11	5.12E-19	8.00E-06	6.55E-30	2.62E-37	1	1	20.493	48.749	-0.85		95759	8.82	32.95
51	51	4	3	E04	A04	std-int	6.40E-11	2.56E-18	8.00E-06	1.64E-28	6.55E-36	1	1	29.493	48.749	-0.85		108107	8.05	25.46
52	52	4	4	E05	A05	std-int	3.20E-10	1.28E-17	8.00E-06	4.10E-27	1.64E-34	1	1	38.493	48.749	-0.85		98801	-10.65	32.72
53	53	4	5	E06	A06	std-int	1.60E-09	6.40E-17	8.00E-06	1.02E-25	4.10E-33	1	1	47.493	48.749	-0.85		124943	0.73	31.62
54	54	4	6	E07	A07	std-int	8.00E-09	3.20E-16	8.00E-06	2.56E-24	1.02E-31	1	1	56.493	48.749	-0.85		282802	-6.15	32.50
55	55	4	7	E08	A08	std-int	4.00E-08	1.60E-15	8.00E-06	6.40E-23	2.56E-30	1	1	65.493	48.749	-0.85		995444	2.58	31.38
56	56	4	8	E09	A09	std-int	2.00E-07	8.00E-15	8.00E-06	1.60E-21	6.40E-29	1	1	74.493	48.749	-0.85		4750296	10.63	28.14
57	57	4	9	E10	A10	std-int	1.00E-06	4.00E-14	8.00E-06	4.00E-20	1.60E-27	1	1	83.493	48.749	-0.85		44755404	66.88	21.40
58	58	4	10	E11	A11	std-int	5.00E-06	2.00E-13	8.00E-06	1.00E-18	4.00E-26	1	1	92.493	48.749	-0.85		213559184	328.90	15.93
59	59	4	11	E12	A12	std-int	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	101.493	48.749	-0.85		466894208	1268.40	13.02
60	71	5	0	F01		std-ext	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00			2.493	57.749	-0.85		141279	3.37	32.56
61	70	5	1	F02		std-ext	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00			11.493	57.749	-0.85		77090	0.05	31.76
62	69	5	2	F03		std-ext	1.28E-11	5.12E-19	8.00E-06	6.55E-30	4.10E-24			20.493	57.749	-0.85		154931	-8.59	31.91
63	68	5	3	F04		std-ext	6.40E-11	2.56E-18	8.00E-06	1.64E-28	2.05E-23			29.493	57.749	-0.85		113470	2.74	34.72
64	67	5	4	F05		std-ext	3.20E-10	1.28E-17	8.00E-06	4.10E-27	1.02E-22			38.493	57.749	-0.85		70998	-3.64	31.99
65	66	5	5	F06		std-ext	1.60E-09	6.40E-17	8.00E-06	1.02E-25	5.12E-22			47.493	57.749	-0.85		126397	-4.84	31.16
66	65	5	6	F07		std-ext	8.00E-09	3.20E-16	8.00E-06	2.56E-24	2.56E-21			56.493	57.749	-0.85		246176	3.36	33.51
67	64	5	7	F08		std-ext	4.00E-08	1.60E-15	8.00E-06	6.40E-23	1.28E-20			65.493	57.749	-0.85		1045742	7.56	30.45
68	63	5	8	F09		std-ext	2.00E-07	8.00E-15	8.00E-06	1.60E-21	6.40E-20			74.493	57.749	-0.85		8343998	11.93	25.08
69	62	5	9	F10		std-ext	1.00E-06	4.00E-14	8.00E-06	4.00E-20	3.20E-19			83.493	57.749	-0.85		44016376	55.23	21.73
70	61	5	10	F11		std-ext	5.00E-06	2.00E-13	8.00E-06	1.00E-18	1.60E-18			92.493	57.749	-0.85		195346480	288.18	17.84
71	60	5	11	F12		std-ext	2.50E-05	1.00E-12	8.00E-06	2.50E-17	8.00E-18			101.493	57.749	-0.85		488488480	1597.62	13.86
72	72	6	0	G01		std-mea	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00			2.493	66.749	-0.85		118382	1.01	30.81
73	73	6	1	G02		std-mea	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00			11.493	66.749	-0.85		83136	-0.57	31.57
74	74	6	2	G03		std-mea	1.28E-11	5.12E-19	8.00E-06	6.55E-30	4.10E-24			20.493	66.749	-0.85		150833	1.96	33.19
75	75	6	3	G04		std-mea	6.40E-11	2.56E-18	8.00E-06	1.64E-28	2.05E-23			29.493	66.749	-0.85		113587	-2.28	31.28
76	76	6	4	G05		std-mea	3.20E-10	1.28E-17	8.00E-06	4.10E-27	1.02E-22			38.493	66.749	-0.85		108971	5.61	29.76
77	77	6	5	G06		std-mea	1.60E-09	6.40E-17	8.00E-06	1.02E-25	5.12E-22			47.493	66.749	-0.85		232253	-0.66	28.18
78	78	6	6	G07		std-mea	8.00E-09	3.20E-16	8.00E-06	2.56E-24	2.56E-21			56.493	66.749	-0.85		741295	6.09	26.79
79	79	6	7	G08		std-mea	4.00E-08	1.60E-15	8.00E-06	6.40E-23	1.28E-20			65.493	66.749	-0.85		2712300	-15.54	25.66
80	80	6	8	G09		std-mea	2.00E-07	8.00E-15	8.00E-06	1.60E-21	6.40E-20			74.493	66.749	-0.85		14670105	57.90	21.79
81	81	6	9	G10		std-mea	1.00E-06	4.00E-14	8.00E-06	4.00E-20	3.20E-19			83.493	66.749	-0.85		64305568	108.51	17.19
82	82	6	10	G11		std-mea	5.00E-06	2.00E-13	8.00E-06	1.00E-18	1.60E-18			92.493	66.749	-0.85		239810032	340.26	14.20
83	83	6	11	G12		std-mea	2.50E-05	1.00E-12	8.00E-06	2.50E-17	8.00E-18			101.493	66.749	-0.85		496059968	1676.83	11.98
84	95	7	0	H01		std-pcr	0.00E+00	1.00E-14	4.00E-06	0.00E+00	4.00E-20			2.493	75.749	-0.85			10.51	18.64
85	94	7	1	H02		std-pcr	0.00E+00	1.00E-13	4.00E-06	0.00E+00	4.00E-19			11.493	75.749	-0.85			1.27	15.65
86	93	7	2	H03		std-pcr	0.00E+00	1.00E-12	4.00E-06	0.00E+00	4.00E-18			20.493	75.749	-0.85			-10.76	11.54
87	92	7	3	H04		std-pcr	0.00E+00	1.00E-11	4.00E-06	0.00E+00	4.00E-17			29.493	75.749	-0.85			10.43	8.22
88	91	7	4	H05		std-pcr	0.00E+00	1.00E-14	4.00E-06	0.00E+00	4.00E-20			38.493	75.749	-0.85			8.35	18.71
89	90	7	5	H06		std-pcr	0.00E+00	1.00E-13	4.00E-06	0.00E+00	4.00E-19			47.493	75.749	-0.85			-5.06	15.66
90	89	7	6	H07		std-pcr	0.00E+00	1.00E-12	4.00E-06	0.00E+00	4.00E-18			56.493	75.749	-0.85			10.58	11.68
91	88	7	7	H08		std-pcr	0.00E+00	1.00E-11	4.00E-06	0.00E+00	4.00E-17			65.493	75.749	-0.85			-8.13	8.50
92	87	7	8	H09		std-pcr	0.00E+00	1.00E-14	4.00E-06	0.00E+00	4.00E-20			74.493	75.749	-0.85			-0.39	18.47
93	86	7	9	H10		std-pcr	0.00E+00	1.00E-13	4.00E-06	0.00E+00	4.00E-19			83.493	75.749	-0.85			16.23	15.83
94	85	7	10	H11		std-pcr	0.00E+00	1.00E-12	4.00E-06	0.00E+00	4.00E-18			92.493	75.749	-0.85			-0.76	11.64
95	84	7	11	H12		std-pcr	0.00E+00	1.00E-11	4.00E-06	0.00E+00	4.00E-17			101.493	75.749	-0.85			5.84	8.40