well,fluorophore,cq,rfu
B01,ROX,NaN,2.35329752822045
B02,ROX,NaN,6.57800623514904
B03,ROX,NaN,1041.11794619323
B04,ROX,NaN,-7.40995849166193
B05,ROX,NaN,-15.6437349580263
B06,ROX,NaN,1095.79543318188
B07,ROX,NaN,5.06527247367731
B08,ROX,NaN,-3.6260367796127
B09,ROX,NaN,918.209872511838
B10,ROX,NaN,5.02440660846123
B11,ROX,NaN,1652.71045939692
B12,ROX,NaN,9.39582371322967
C01,ROX,NaN,-0.382648220916417
C02,ROX,NaN,-6.0672652667221
C03,ROX,NaN,1539.75604882774
C04,ROX,NaN,6.37356897020272
C05,ROX,NaN,-5.11292353347435
C06,ROX,NaN,1778.84652962284
C07,ROX,NaN,6.4203187000503
C08,ROX,NaN,-5.65223384513838
C09,ROX,NaN,633.614159942479
C10,ROX,NaN,4.66098670003366
C11,ROX,NaN,538.793837667082
C12,ROX,NaN,3.37559374867133
D01,ROX,NaN,-2.0507345741411
D02,ROX,NaN,-7.35090547153513
D03,ROX,NaN,804.971846700792
D04,ROX,NaN,-14.3931331916705
D05,ROX,NaN,3.74711486537908
D06,ROX,NaN,2087.95038636545
D07,ROX,NaN,2.00611465137827
D08,ROX,NaN,-3.57167010596213
D09,ROX,NaN,666.599702959252
D10,ROX,NaN,-3.10457252058104
D11,ROX,NaN,641.609918408532
D12,ROX,NaN,-1.79205435774338
E01,ROX,NaN,-6.81446956814452
E02,ROX,NaN,17.1663491856311
E03,ROX,NaN,8.82003273748787
E04,ROX,NaN,8.05351163383448
E05,ROX,NaN,-10.6494742417006
E06,ROX,NaN,0.725077747698469
E07,ROX,NaN,-6.15271662497771
E08,ROX,NaN,2.58199687230417
E09,ROX,NaN,10.630770060814
E10,ROX,NaN,66.8785189772397
E11,ROX,NaN,328.895648564477
E12,ROX,NaN,1268.4025963991
F01,ROX,NaN,3.36958755468759
F02,ROX,NaN,0.0493488677888308
F03,ROX,NaN,-8.58574637004049
F04,ROX,NaN,2.7350512757982
F05,ROX,NaN,-3.63929471737547
F06,ROX,NaN,-4.83874522661699
F07,ROX,NaN,3.35951615669419
F08,ROX,NaN,7.557874192502
F09,ROX,NaN,11.92672034901
F10,ROX,NaN,55.2303747313982
F11,ROX,NaN,288.178571318859
F12,ROX,NaN,1597.61581441964
G01,ROX,NaN,1.01353510148556
G02,ROX,NaN,-0.572183537186811
G03,ROX,NaN,1.96151285144233
G04,ROX,NaN,-2.27810401536035
G05,ROX,NaN,5.60711353883044
G06,ROX,NaN,-0.664483857753839
G07,ROX,NaN,6.09162282711604
G08,ROX,NaN,-15.5385934154137
G09,ROX,NaN,57.9044693893623
G10,ROX,NaN,108.513848287537
G11,ROX,NaN,340.261934368638
G12,ROX,NaN,1676.83054328274
H01,ROX,NaN,10.5102771213473
H02,ROX,NaN,1.26562890627429
H03,ROX,NaN,-10.7646274177678
H04,ROX,NaN,10.4298766808809
H05,ROX,NaN,8.35396945968596
H06,ROX,NaN,-5.06296689705077
H07,ROX,NaN,10.5823028999174
H08,ROX,NaN,-8.12509281269649
H09,ROX,NaN,-0.388915150251523
H10,ROX,NaN,16.2261896192315
H11,ROX,NaN,-0.76350487769887
H12,ROX,NaN,5.8406713818853
B01,SYBR,30.2367832370797,7748.17897006559
B02,SYBR,31.5099007126345,4729.52124233143
B03,SYBR,13.8543239797405,15731.5872871432
B04,SYBR,26.9433746895017,12917.9047375936
B05,SYBR,30.8940459728912,6018.2509258185
B06,SYBR,14.5528899015598,16716.1677620797
B07,SYBR,32.7133052408135,2998.85600937118
B08,SYBR,26.791110655535,14033.8827635907
B09,SYBR,14.8319113092724,17187.8918333224
B10,SYBR,26.2988083520183,15024.0884364242
B11,SYBR,14.478887447102,16139.241179964
B12,SYBR,29.9630392026224,8449.68552271003
C01,SYBR,31.9062873165332,3745.59481111652
C02,SYBR,32.76861770283,2763.19507557442
C03,SYBR,14.1609923095571,16465.5628222744
C04,SYBR,31.4874720449061,4831.70272832748
C05,SYBR,29.5132349854428,10357.5762149217
C06,SYBR,14.480391279578,17898.6399766549
C07,SYBR,27.718335556717,10850.1636651567
C08,SYBR,29.7790189166222,10162.7988466642
C09,SYBR,15.2963919884599,19241.0845167684
C10,SYBR,31.1976851224802,5529.86964100951
C11,SYBR,14.004063517504,17612.5552341083
C12,SYBR,32.9548887369568,2447.4547172389
D01,SYBR,30.8081805465428,6606.58080623473
D02,SYBR,33.768816446356,1076.97393106533
D03,SYBR,14.1416711380765,16725.9827469131
D04,SYBR,34,506.768937157642
D05,SYBR,27.0857174059707,13931.5933677293
D06,SYBR,13.6506512604063,17948.0191167706
D07,SYBR,29.9490729747837,9538.26586425406
D08,SYBR,26.4773870736473,15419.007982169
D09,SYBR,13.5135040683421,18314.1844350099
D10,SYBR,34.14394782564,812.332742220451
D11,SYBR,13.9102668580301,17669.3354129333
D12,SYBR,33.18394882094,1809.81858272313
E01,SYBR,33.3344914495609,1619.30545592842
E02,SYBR,29.7253138953417,9859.64551713805
E03,SYBR,32.9467658118681,2192.40983587028
E04,SYBR,25.4595304737995,12575.3690604286
E05,SYBR,32.72279458531,3018.12621434333
E06,SYBR,31.6192629133976,4488.59603030634
E07,SYBR,32.5041733545996,3648.49128436931
E08,SYBR,31.3836542627518,4834.75658474139
E09,SYBR,28.1368339545565,11258.9799658068
E10,SYBR,21.3992281854202,24263.5836515027
E11,SYBR,15.9326282987646,24885.0396020257
E12,SYBR,13.0167676280187,18183.0937841227
F01,SYBR,32.5636054134802,3281.78031687332
F02,SYBR,31.7618076182875,222.792612420437
F03,SYBR,31.908620404186,435.251832241758
F04,SYBR,34.7166169471055,656.722504098241
F05,SYBR,31.9859961945824,495.590422490962
F06,SYBR,31.1606362062716,6920.74007384914
F07,SYBR,33.5133148073715,1267.98139159715
F08,SYBR,30.4488292631953,7982.54973159904
F09,SYBR,25.0798532055104,16949.9774129812
F10,SYBR,21.733172535588,23816.628487596
F11,SYBR,17.8420151739657,23568.3880788751
F12,SYBR,13.8607145302908,16388.2062384004
G01,SYBR,30.8106686015919,5826.33974917289
G02,SYBR,31.5701055004758,5766.49593938338
G03,SYBR,33.1869228848371,1635.94953757774
G04,SYBR,31.280822474393,5854.25756740533
G05,SYBR,29.7553511993678,8258.67909787533
G06,SYBR,28.1824860827074,9345.1492898029
G07,SYBR,26.7874971442066,15154.9565536255
G08,SYBR,25.6639427080874,19339.3387800811
G09,SYBR,21.7879706106028,22221.9865498519
G10,SYBR,17.1876180234591,25027.8995531018
G11,SYBR,14.2028532161406,23522.4193286274
G12,SYBR,11.9784316118339,16744.9988991903
H01,SYBR,18.6354714084742,21205.4067319306
H02,SYBR,15.6453877783429,21504.088599904
H03,SYBR,11.5388537274209,19419.2387180375
H04,SYBR,8.21553502830496,11436.2160322784
H05,SYBR,18.7072839540903,21122.147418935
H06,SYBR,15.6581142947668,21295.3925220986
H07,SYBR,11.6817409554395,22593.0946712124
H08,SYBR,8.50408939782876,13892.7426351814
H09,SYBR,18.4697673129603,20416.5570401456
H10,SYBR,15.8299627831691,23568.5254262581
H11,SYBR,11.6355599324523,22115.6761231833
H12,SYBR,8.39854450871242,12372.5524152708
